Title,Genre,Language,Year,Actors,Director
Nine Queens,Crime Drama Thriller,es,2000,Ricardo Dar\u00edn Gast\u00f3n Pauls Leticia Br\u00e9dice Mar\u00eda Mercedes Villagra Gabriel Correa,Fabi\u00e1n Bielinsky
Persepolis,"Animation, Biography,  Drama",NAN,2007,"Chiara Mastroianni, Catherine Deneuve, Gena Rowlands, Danielle Darrieux","Directors:Vincent Paronnaud, Marjane Satrapi"
The Shallows,Horror Drama Thriller,en,2016,Blake Lively \u00d3scar Jaenada Angelo Josue Lozano Corzo Jos\u00e9 Manuel Trujillo Salas Brett Cullen,Jaume Collet-Serra
The Legend of Suriyothai,Drama Foreign History War,th,2001,M.L. Piyapas Bhirombhakdi Sarunyu Wongkrachang Chatchai Plengpanich Johnny Anfone Mai Charoenpura,Chatrichalerm Yukol
Anacondas: The Hunt for the Blood Orchid,Adventure Action Horror Science Fiction Thriller,en,2004,Johnny Messner KaDee Strickland Matthew Marsden Nicholas Gonzalez Eugene Byrd,Dwight H. Little
Star Wars: Clone Wars: Volume 1,Action Adventure Animation Fantasy Science Fiction,en,2005,Tom Kane Corey Burton Mat Lucas James Arnold Taylor Andr\u00e9 Sogliuzzo,Genndy Tartakovsky
Pompeii,Action Adventure History Romance Drama,en,2014,Kit Harington Carrie-Anne Moss Emily Browning Adewale Akinnuoye-Agbaje Jessica Lucas,Paul W.S. Anderson
The Crime of Padre Amaro,Drama Romance,es,2002,Gael Garc\u00eda Bernal Ana Claudia Talanc\u00f3n Sancho Gracia Ang\u00e9lica Arag\u00f3n Ernesto G\u00f3mez Cruz,Carlos Carrera
The Iron Giant,Adventure Animation Family Fantasy Science Fiction,en,1999,Eli Marienthal Jennifer Aniston Vin Diesel Christopher McDonald Harry Connick Jr.,Brad Bird
Delgo,Adventure Fantasy Animation Comedy Science Fiction,en,2008,Freddie Prinze Jr. Jennifer Love Hewitt Val Kilmer Anne Bancroft Chris Kattan,Marc F. Adler
8 Women,Comedy Thriller Music Crime Mystery,fr,2002,Catherine Deneuve Isabelle Huppert Emmanuelle B\u00e9art Fanny Ardant Virginie Ledoyen,Fran\u00e7ois Ozon
Inception,Action Thriller Science Fiction Mystery Adventure,en,2010,Leonardo DiCaprio Joseph Gordon-Levitt Ellen Page Tom Hardy Ken Watanabe,Christopher Nolan
Spy Kids 3-D: Game Over,Action Adventure Comedy Family Science Fiction,en,2003,Antonio Banderas Carla Gugino Alexa PenaVega Daryl Sabara Sylvester Stallone,Robert Rodriguez
Witless Protection,Action Adventure Comedy Crime,en,2008,Larry the Cable Guy Ivana Mili\u010devi\u0107 Jenny McCarthy Yaphet Kotto Peter Stormare,Charles Robert Carner
Journey to Saturn,Action Adventure Animation Comedy Science Fiction,en,2008,Casper Christensen Frank Hvam Ali Kazim Iben Hjejle Peter Belli,Kresten Vestbjerg Andersen
Asterix at the Olympic Games,Fantasy Adventure Comedy Family,fr,2008,Clovis Cornillac G\u00e9rard Depardieu Franck Dubosc Jos\u00e9 Garcia St\u00e9phane Rousseau,Thomas Langmann
Southland Tales,Action Adventure Comedy Drama Science Fiction,en,2006,Dwayne Johnson Seann William Scott Sarah Michelle Gellar Mandy Moore Will Sasso,Richard Kelly
Blade: Trinity,Science Fiction Action Horror Thriller Adventure,en,2004,Wesley Snipes Kris Kristofferson Dominic Purcell Jessica Biel Ryan Reynolds,David S. Goyer
Race to Witch Mountain,Adventure Family Fantasy Science Fiction Thriller,en,2009,Dwayne Johnson AnnaSophia Robb Alexander Ludwig Carla Gugino Chris Marquette,Andy Fickman
Babylon A.D.,Action Adventure Science Fiction Thriller,en,2008,Vin Diesel Michelle Yeoh M\u00e9lanie Thierry Lambert Wilson Charlotte Rampling,Mathieu Kassovitz
Escape from Planet Earth,Animation Comedy Adventure Family Science Fiction,en,2013,Brendan Fraser Rob Corddry Ricky Gervais Jessica Alba Sarah Jessica Parker,Callan Brunker
Biutiful,Drama,es,2010,Javier Bardem Maricel \u00c1lvarez Hanaa Bouchaib Guillermo Estrella Eduard Fern\u00e1ndez,Alejandro Gonz\u00e1lez I\u00f1\u00e1rritu
Oblivion,Action Science Fiction Adventure Mystery,en,2013,Tom Cruise Morgan Freeman Olga Kurylenko Andrea Riseborough Nikolaj Coster-Waldau,Joseph Kosinski
Bacurau,"Adventure, Horror,  Mystery",NAN,2019,"Bárbara Colen, Thomas Aquino, Silvero Pereira, Thardelly Lima","Directors:Juliano Dornelles, Kleber Mendonça Filho"
I Am Legend,Drama Horror Action Thriller Science Fiction,en,2007,Will Smith Alice Braga Charlie Tahan Salli Richardson-Whitfield Willow Smith,Francis Lawrence
The Horseman on the Roof,War Adventure Drama Romance,en,1995,Juliette Binoche Olivier Martinez Pierre Arditi Fran\u00e7ois Cluzet G\u00e9rard Depardieu,Jean-Paul Rappeneau
The Visitors,Fantasy Comedy Science Fiction,fr,1993,Jean Reno Val\u00e9rie Lemercier Christian Clavier Marie-Anne Chazel Christian Bujeau,Jean-Marie Poir\u00e9
Street Fighter: The Legend of Chun-Li,Action Adventure Science Fiction Thriller,en,2009,Kristin Kreuk Chris Klein Neal McDonough Michael Clarke Duncan Moon Bloodgood,Andrzej Bartkowiak
Final Fantasy: The Spirits Within,Adventure Action Animation Fantasy Science Fiction,en,2001,Donald Sutherland Ming-Na Wen Alec Baldwin Ving Rhames Steve Buscemi,Hironobu Sakaguchi
Automata,Thriller Science Fiction,en,2014,Antonio Banderas Birgitte Hjort S\u00f8rensen Dylan McDermott Robert Forster Tim McInnerny,Gabe Ib\u00e1\u00f1ez
Planet of the Apes,Thriller Science Fiction Action Adventure,en,2001,Mark Wahlberg Tim Roth Helena Bonham Carter Michael Clarke Duncan Kris Kristofferson,Tim Burton
Young Guns,Crime Action Adventure Drama Western,en,1988,Emilio Estevez Kiefer Sutherland Lou Diamond Phillips Charlie Sheen Dermot Mulroney,Christopher Cain
Superman III,Comedy Action Adventure Fantasy Science Fiction,en,1983,Christopher Reeve Richard Pryor Jackie Cooper Marc McClure Annette O'Toole,Richard Lester
The Return,Thriller Drama Mystery,ru,2003,Vladimir Garin Konstantin Lavronenko Nataliya Vdovina Vanya Dobronravov Yelizaveta Aleksandrova,Andrey Zvyagintsev
10 Cloverfield Lane,Thriller Science Fiction Drama,en,2016,Mary Elizabeth Winstead John Goodman John Gallagher Jr. Bradley Cooper Douglas M. Griffin,Dan Trachtenberg
A Low Down Dirty Shame,Action Comedy Crime,en,1994,Keenen Ivory Wayans Charles S. Dutton Jada Pinkett Smith Salli Richardson-Whitfield Andrew Divoff,Keenen Ivory Wayans
Underworld: Rise of the Lycans,Fantasy Action Adventure Science Fiction Thriller,en,2009,Bill Nighy Michael Sheen Rhona Mitra Shane Brolly Steven Mackintosh,Patrick Tatopoulos
A Monster in Paris,Adventure Animation Comedy Family Fantasy,fr,2011,Vanessa Paradis Mathieu Chedid Gad Elmaleh Fran\u00e7ois Cluzet Ludivine Sagnier,Bibo Bergeron
Carlos,Crime Drama Thriller History,en,2010,Edgar Ram\u00edrez Alexander Scheer Fadi Abi Samra Nora von Waldst\u00e4tten Talal El-Jordi,Olivier Assayas
The Other Conquest,Drama Foreign,es,1999,Dami\u00e1n Delgado Jos\u00e9 Carlos Rodr\u00edguez Elpidia Carrillo I\u00f1aki Aierra Honorato Magaloni,Salvador Carrasco
The Quiet American,Drama Action Thriller Romance,en,2002,Michael Caine Brendan Fraser \u0110\u1ed7 Th\u1ecb H\u1ea3i Y\u1ebfn Tzi Ma Rade Serbedzija,Phillip Noyce
Back to the Future Part III,Adventure Comedy Family Science Fiction,en,1990,Michael J. Fox Christopher Lloyd Mary Steenburgen Thomas F. Wilson Lea Thompson,Robert Zemeckis
Underdogs,Animation Adventure Romance,es,2013,Juan Jos\u00e9 Campanella Diego Ramos Pablo Rago Axel Kuschevatzky David Masajnik,Juan Jos\u00e9 Campanella
The Red Violin,Drama Thriller Mystery Music Romance,en,1998,Carlo Cecchi Irene Grazioli Anita Laurenzi Tommaso Puntelli Samuele Amighetti,Fran\u00e7ois Girard
Happily N'Ever After,Animation Comedy Family Fantasy Science Fiction,en,2006,George Carlin Andy Dick Sarah Michelle Gellar Lisa Kaplan Michael McShane,Yvette Kaplan
The Matrix Reloaded,Adventure Action Thriller Science Fiction,en,2003,Keanu Reeves Carrie-Anne Moss Laurence Fishburne Hugo Weaving Helmut Bakaitis,Lilly Wachowski
Journey to the Center of the Earth,Action Science Fiction Adventure Comedy Family,en,2008,Brendan Fraser Josh Hutcherson Anita Briem Seth Meyers Jean Michel Par\u00e9,Eric Brevig
A Separation,Drama,fa,2011,Leila Hatami Kimia Hosseini Merila Zarei \u067e\u06cc\u0645\u0627\u0646 \u0645\u0639\u0627\u062f\u06cc Sareh Bayat,Asghar Farhadi
Carriers,Action Drama Horror Science Fiction Thriller,en,2009,Lou Taylor Pucci Chris Pine Piper Perabo Emily VanCamp Christopher Meloni,\u00c0lex Pastor
In the Land of Blood and Honey,Drama Romance War,en,2011,Zana Marjanovi\u0107 Goran Kosti\u0107 Branko \u0110uri\u0107 Dzana Pinjo Milo\u0161 Timotijevi\u0107,Angelina Jolie
Jakob the Liar,Comedy Drama History,en,1999,Robin Williams Armin Mueller-Stahl Hannah Taylor-Gordon \u00c9va Ig\u00f3 Istv\u00e1n B\u00e1lint,Peter Kassovitz
The Saint,Thriller Action Romance Science Fiction Adventure,en,1997,Val Kilmer Elisabeth Shue Rade Serbedzija Henry Goodman Alun Armstrong,Phillip Noyce
G.I. Joe: The Rise of Cobra,Adventure Action Thriller Science Fiction,en,2009,Dennis Quaid Channing Tatum Marlon Wayans Sienna Miller Joseph Gordon-Levitt,Stephen Sommers
Under the Skin,Thriller Science Fiction Drama,en,2014,Scarlett Johansson Kry\u0161tof H\u00e1dek Paul Brannigan Michael Moreland Scott Dymond,Jonathan Glazer
Unbreakable,Science Fiction Thriller Drama,en,2000,Bruce Willis Samuel L. Jackson Robin Wright Spencer Treat Clark John Patrick Amedori,M. Night Shyamalan
The Hunger Games: Mockingjay - Part 1,Science Fiction Adventure Thriller,en,2014,Jennifer Lawrence Josh Hutcherson Liam Hemsworth Woody Harrelson Donald Sutherland,Francis Lawrence
The Secret in Their Eyes,Crime Drama Mystery Romance,es,2009,Ricardo Dar\u00edn Soledad Villamil Pablo Rago Javier Godino Guillermo Francella,Juan Jos\u00e9 Campanella
Bon voyage,Comedy Drama Foreign,fr,2003,Gr\u00e9gori Derang\u00e8re G\u00e9rard Depardieu Isabelle Adjani Virginie Ledoyen Yvan Attal,Jean-Paul Rappeneau
Planet 51,Science Fiction Animation Family Comedy Adventure,en,2009,Dwayne Johnson Seann William Scott Jessica Biel Justin Long Gary Oldman,Jorge Blanco
Arn: The Knight Templar,Action Adventure Drama Romance,sv,2007,Joakim N\u00e4tterqvist Sofia Helin Stellan Skarsg\u00e5rd Michael Nyqvist Mirja Turestedt,Peter Flinth
The Cell,Horror Science Fiction Thriller,en,2000,Jennifer Lopez Vincent D'Onofrio Vince Vaughn Marianne Jean-Baptiste Catherine Sutherland,Tarsem Singh
Blindness,Drama Mystery Science Fiction Thriller,en,2008,Julianne Moore Mark Ruffalo Alice Braga Gael Garc\u00eda Bernal Danny Glover,Fernando Meirelles
The Thief and the Cobbler,Adventure Fantasy Animation Science Fiction Family,en,1993,Vincent Price Anthony Quayle Sean Connery Joan Sims Paul Matthews,Richard Williams
The Book of Life,Romance Animation Adventure Comedy Family,en,2014,Diego Luna Channing Tatum Zoe Saldana Christina Applegate Eugenio Derbez,Jorge R. Gutierrez
Repo! The Genetic Opera,Horror Comedy Music Science Fiction,en,2008,Alexa PenaVega Paul Sorvino Anthony Stewart Head Sarah Brightman Paris Hilton,Darren Lynn Bousman
Juliet and Alfa Romeo,Comedy Drama,sl,2015,Dario No\u017ei\u0107 Serini Jan Gerl Korenc \u0160pela Colja Katja \u0160kofi\u0107 Ana Dolinar,Bla\u017e Zavr\u0161nik
Predator,Science Fiction Action Adventure Thriller,en,1987,Arnold Schwarzenegger Carl Weathers Elpidia Carrillo Bill Duke Jesse Ventura,John McTiernan
Jurassic World,Action Adventure Science Fiction Thriller,en,2015,Chris Pratt Bryce Dallas Howard Irrfan Khan Vincent D'Onofrio Nick Robinson,Colin Trevorrow
Shin Godzilla,Action Adventure Drama Horror Science Fiction,ja,2016,Hiroki Hasegawa Yutaka Takenouchi Satomi Ishihara Kengo Kora Matsuo Satoru,Hideaki Anno
The Shadow,Adventure Fantasy Action Thriller Science Fiction,en,1994,Alec Baldwin John Lone Penelope Ann Miller Peter Boyle Ian McKellen,Russell Mulcahy
Inherent Vice,Comedy Romance Crime Drama Mystery,en,2014,Joaquin Phoenix Josh Brolin Owen Wilson Katherine Waterston Reese Witherspoon,Paul Thomas Anderson
Back to the Future,Adventure Comedy Science Fiction Family,en,1985,Michael J. Fox Christopher Lloyd Lea Thompson Crispin Glover Thomas F. Wilson,Robert Zemeckis
Predator 2,Science Fiction Action Thriller,en,1990,Kevin Peter Hall Danny Glover Gary Busey Rub\u00e9n Blades Mar\u00eda Conchita Alonso,Stephen Hopkins
The Abyss,Adventure Action Thriller Science Fiction,en,1989,Ed Harris Mary Elizabeth Mastrantonio Michael Biehn Leo Burmester Todd Graff,James Cameron
Aquamarine,Fantasy Romance Family Comedy,en,2006,Emma Roberts Joanna 'JoJo' Levesque Sara Paxton Jake McDorman Arielle Kebbel,Elizabeth Allen Rosenbaum
Man on Wire,Thriller Documentary Crime History,en,2008,Philippe Petit Jean Fran\u00e7ois Heckel Jean-Louis Blondeau Annie Allix David Forman,James Marsh
Bee Movie,Family Animation Adventure Comedy,en,2007,Jerry Seinfeld Ren\u00e9e Zellweger Jim Cummings Matthew Broderick Patrick Warburton,Steve Hickner
Split Second,Thriller Action Horror Science Fiction Crime,en,1992,Rutger Hauer Kim Cattrall Michael J. Pollard Alastair Duncan Alun Armstrong,Tony Maylam
Puss in Boots,Action Adventure Animation Family Fantasy,en,2011,Antonio Banderas Salma Hayek Zach Galifianakis Billy Bob Thornton Amy Sedaris,Chris Miller
Ernest & Celestine,Animation Comedy Drama Family,fr,2012,Anne-Marie Loop Lambert Wilson Pauline Brunner Patrice Melennec Brigitte Virtudes,St\u00e9phane Aubier
Machine Gun McCain,Drama Action Thriller Crime Foreign,it,1969,John Cassavetes Britt Ekland Peter Falk Gabriele Ferzetti Margherita Guzzinati,Giuliano Montaldo
The Brothers Grimm,Adventure Fantasy Action Comedy Thriller,en,2005,Heath Ledger Matt Damon Mackenzie Crook Roger Ashton-Griffiths Peter Stormare,Terry Gilliam
The 13th Warrior,"Action, Adventure,  History",NAN,1999,"Antonio Banderas, Diane Venora, Dennis Storhøi, Vladimir Kulich","Directors:John McTiernan, Michael Crichton"
Knowing,Action Adventure Drama Mystery Science Fiction,en,2009,Nicolas Cage Rose Byrne Chandler Canterbury Ben Mendelsohn Nadia Townsend,Alex Proyas
Logan's Run,Adventure Action Romance Science Fiction,en,1976,Michael York Richard Jordan Jenny Agutter Roscoe Lee Browne Farrah Fawcett,Michael Anderson
Savva. Heart of the Warrior,Fantasy Adventure Animation,ru,2015,Maksim Chukharyov Konstantin Khabenskiy Mikhail Galustyan Fyodor Bondarchuk Natalya Ionova,Maksim Fadeev
Broken Horses,Thriller Mystery Drama Crime,en,2015,Mar\u00eda Valverde Vincent D'Onofrio Thomas Jane Anton Yelchin Sean Patrick Flanery,Vidhu Vinod Chopra
Clockstoppers,Adventure Family Science Fiction Thriller,en,2002,Jesse Bradford Paula Garc\u00e9s Robin Thomas French Stewart Michael Biehn,Jonathan Frakes
Wing Commander,Action Science Fiction,en,1999,Freddie Prinze Jr. Saffron Burrows Matthew Lillard Tch\u00e9ky Karyo J\u00fcrgen Prochnow,Christopher Roberts
Chicago,Action Comedy Crime Drama Music,en,2002,Catherine Zeta-Jones Ren\u00e9e Zellweger Queen Latifah Richard Gere Christine Baranski,Rob Marshall
The Limey,Action Crime Drama Mystery Thriller,en,1999,Terence Stamp Lesley Ann Warren Luis Guzm\u00e1n Barry Newman Joe Dallesandro,Steven Soderbergh
The Lost World: Jurassic Park,Adventure Action Science Fiction,en,1997,Jeff Goldblum Julianne Moore Pete Postlethwaite Richard Attenborough Vince Vaughn,Steven Spielberg
The Barbarian Invasions,Comedy Crime Drama,fr,2003,R\u00e9my Girard St\u00e9phane Rousseau Marie-Jos\u00e9e Croze Doroth\u00e9e Berryman Louise Portal,Denys Arcand
Sheena,Action Adventure Comedy Fantasy Science Fiction,en,1984,Tanya Roberts Ted Wass Donovan Scott Elizabeth of Toro France Zobda,John Guillermin
Cargo,Thriller Mystery Science Fiction,de,2009,Martin Rapold Anna-Katharina Schwabroh Regula Grauwiller Yangzom Brauen Michael Finger,Ivan Engler
I Know What You Did Last Summer,Horror Thriller Mystery,en,1997,Jennifer Love Hewitt Sarah Michelle Gellar Ryan Phillippe Freddie Prinze Jr. Bridgette Wilson,Jim Gillespie
Mississippi Mermaid,Crime Drama Romance,fr,1969,Jean-Paul Belmondo Catherine Deneuve Michel Bouquet Nelly Borgeaud Martine Ferri\u00e8re,Fran\u00e7ois Truffaut
The Adventures of Robin Hood,"Action, Adventure,  Romance",NAN,1938,"Errol Flynn, Olivia de Havilland, Basil Rathbone, Claude Rains","Directors:Michael Curtiz, William Keighley"
Avatar,Action Adventure Fantasy Science Fiction,en,2009,Sam Worthington Zoe Saldana Sigourney Weaver Stephen Lang Michelle Rodriguez,James Cameron
World War Z,Action Drama Horror Science Fiction Thriller,en,2013,Brad Pitt Mireille Enos Abigail Hargrove Sterling Jerins James Badge Dale,Marc Forster
Two Brothers,Adventure Drama Family,en,2004,Ma\u00ef Anh Le Guy Pearce Oanh Nguyen Jaran 'See Tao' Petcharoen St\u00e9phanie Lagarde,Jean-Jacques Annaud
Cinco de Mayo: La Batalla,War History Drama,es,2013,Christian Vazquez Liz Gallardo Ang\u00e9lica Arag\u00f3n Kuno Becker Gin\u00e9s Garc\u00eda Mill\u00e1n,Rafa Lara
The Black Hole,Adventure Family Science Fiction Action,en,1979,Maximilian Schell Anthony Perkins Robert Forster Joseph Bottoms Ernest Borgnine,Gary Nelson
The Hateful Eight,Crime Drama Mystery Western,en,2015,Samuel L. Jackson Kurt Russell Jennifer Jason Leigh Walton Goggins Demi\u00e1n Bichir,Quentin Tarantino
Aliens in the Attic,Adventure Comedy Family Fantasy Science Fiction,en,2009,Carter Jenkins Austin Butler Kevin Nealon Robert Hoffman Doris Roberts,John Schultz
Coco,"Animation, Adventure,  Comedy",NAN,2017,"Anthony Gonzalez, Gael García Bernal, Benjamin Bratt, Alanna Ubach","Directors:Lee Unkrich, Adrian Molina"
Teenage Mutant Ninja Turtles,Science Fiction Action Adventure Fantasy Comedy,en,2014,Megan Fox Will Arnett William Fichtner Alan Ritchson Noel Fisher,Jonathan Liebesman
Last Action Hero,Adventure Fantasy Action Comedy Family,en,1993,Arnold Schwarzenegger F. Murray Abraham Art Carney Charles Dance Frank McRae,John McTiernan
The Matrix Revolutions,Adventure Action Thriller Science Fiction,en,2003,Keanu Reeves Laurence Fishburne Carrie-Anne Moss Hugo Weaving Mary Alice,Lilly Wachowski
The Legend of Zorro,Action Adventure,en,2005,Antonio Banderas Catherine Zeta-Jones Adri\u00e1n Alonso Barona Julio Oscar Mechoso Nick Chinlund,Martin Campbell
Battleship,Thriller Action Adventure Science Fiction,en,2012,Taylor Kitsch Alexander Skarsg\u00e5rd Rihanna Brooklyn Decker Tadanobu Asano,Peter Berg
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni","Animation, Action,  Drama",NAN,1997,"Megumi Ogata, Megumi Hayashibara, Yûko Miyamura, Kotono Mitsuishi","Directors:Hideaki Anno, Kazuya Tsurumaki"
A Sound of Thunder,Thriller Science Fiction Adventure Action,en,2005,Heike Makatsch Armin Rohde David Oyelowo Wilfried Hochholdinger Edward Burns,Peter Hyams
The Covenant,Action Adventure Fantasy Horror Science Fiction,en,2006,Steven Strait Laura Ramsey Jessica Lucas Taylor Kitsch Chace Crawford,Renny Harlin
Starship Troopers,Adventure Action Thriller Science Fiction,en,1997,Casper Van Dien Dina Meyer Denise Richards Jake Busey Neil Patrick Harris,Paul Verhoeven
Alien,Horror Action Thriller Science Fiction,en,1979,Tom Skerritt Sigourney Weaver Veronica Cartwright Harry Dean Stanton John Hurt,Ridley Scott
Batman,Family Adventure Comedy Science Fiction Crime,en,1966,Adam West Burt Ward Lee Meriwether Cesar Romero Burgess Meredith,Leslie H. Martinson
The Hunger Games: Mockingjay - Part 2,Action Adventure Science Fiction,en,2015,Jennifer Lawrence Josh Hutcherson Liam Hemsworth Woody Harrelson Elizabeth Banks,Francis Lawrence
The Hunger Games: Catching Fire,Adventure Action Science Fiction,en,2013,Jennifer Lawrence Josh Hutcherson Liam Hemsworth Woody Harrelson Elizabeth Banks,Francis Lawrence
Osmosis Jones,Adventure Animation Action Comedy Family,en,2001,Chris Rock Laurence Fishburne David Hyde Pierce Brandy Norwood Bill Murray,Bobby Farrelly
Wild Wild West,Action Adventure Comedy Science Fiction Western,en,1999,Will Smith Kevin Kline Kenneth Branagh Salma Hayek M. Emmet Walsh,Barry Sonnenfeld
Scooby-Doo 2: Monsters Unleashed,Mystery Fantasy Adventure Comedy,en,2004,Freddie Prinze Jr. Sarah Michelle Gellar Matthew Lillard Linda Cardellini Seth Green,Raja Gosnell
Love's Abiding Joy,TV Movie Action Drama Family,en,2006,Erin Cottrell Logan Bartholomew William Morgan Sheppard James Tupper Irene Bedard,Michael Landon Jr.
Kung Fu Panda 3,Action Adventure Animation Comedy Family,en,2016,Jack Black Bryan Cranston Dustin Hoffman Angelina Jolie J.K. Simmons,Jennifer Yuh Nelson
Recess: School's Out,Science Fiction Animation Comedy Family,en,2001,Rickey D'Shon Collins Jason Davis Ashley Johnson Courtland Mead Pamela Adlon,Chuck Sheetz
Event Horizon,Horror Science Fiction Mystery,en,1997,Laurence Fishburne Sam Neill Kathleen Quinlan Joely Richardson Richard T. Jones,Paul W.S. Anderson
The Lion King,"Animation, Adventure,  Drama",NAN,1994,"Matthew Broderick, Jeremy Irons, James Earl Jones, Whoopi Goldberg","Directors:Roger Allers, Rob Minkoff"
Sahara,Action Adventure Comedy Drama Mystery,en,2005,Matthew McConaughey Pen\u00e9lope Cruz Steve Zahn William H. Macy Lennie James,Breck Eisner
Back to the Future Part II,Adventure Comedy Family Science Fiction,en,1989,Michael J. Fox Christopher Lloyd Lea Thompson Elisabeth Shue James Tolkan,Robert Zemeckis
Steamboy,Animation Fantasy Science Fiction,ja,2004,Anne Suzuki Masane Tsukayama Katsuo Nakamura Manami Konishi Kiyoshi Kodama,Katsuhiro \u014ctomo
Monkeybone,Adventure Fantasy Animation Action Comedy,en,2001,Brendan Fraser Bridget Fonda John Turturro Chris Kattan Giancarlo Esposito,Henry Selick
The Lovers,Action Adventure Science Fiction Romance,en,2015,Josh Hartnett Simone Kessell Tamsin Egerton Alice Englert Bipasha Basu,Roland Joff\u00e9
Children of Men,Drama Action Thriller Science Fiction,en,2006,Clive Owen Michael Caine Julianne Moore Charlie Hunnam Chiwetel Ejiofor,Alfonso Cuar\u00f3n
Timecrimes,Science Fiction Thriller,es,2007,Karra Elejalde Candela Fern\u00e1ndez B\u00e1rbara Goenaga Nacho Vigalondo Juan Inciarte,Nacho Vigalondo
After.Life,Drama Horror Mystery Thriller,en,2010,Liam Neeson Justin Long Christina Ricci Josh Charles Chandler Canterbury,Agnieszka Wojtowicz-Vosloo
Cinderella,Romance Fantasy Family Drama,en,2015,Lily James Cate Blanchett Richard Madden Helena Bonham Carter Stellan Skarsg\u00e5rd,Kenneth Branagh
3000 Miles to Graceland,Action Adventure Comedy Thriller Crime,en,2001,Kurt Russell Kevin Costner Courteney Cox Christian Slater Kevin Pollak,Demian Lichtenstein
Eddie the Eagle,Comedy Drama History,en,2016,Taron Egerton Hugh Jackman Christopher Walken Ania Sowinski Mads Sj\u00f8g\u00e5rd Pettersen,Dexter Fletcher
E.T. the Extra-Terrestrial,Science Fiction Adventure Family Fantasy,en,1982,Henry Thomas Drew Barrymore Robert MacNaughton Dee Wallace Peter Coyote,Steven Spielberg
The Running Man,Action Science Fiction,en,1987,Arnold Schwarzenegger Richard Dawson Mar\u00eda Conchita Alonso Yaphet Kotto Jim Brown,Paul Michael Glaser
